ID,# of record,reaction time (seconds),time indicate,times of day,"stimulate (yes=1, no=0)",fatigue,hunger,"busy=1, light=0","illness(yes=1, no=0)",hour of sleep,"protocol(yes=1, no=0)",MEQ,Note,
11,1,0.451,1,12:00,0,5,4,0,0,9,1,38,,
11,2,0.218,2,17:30,0,3,3,0,0,9,1,38,,
11,3,0.41,3,21:30,0,4,5,0,0,9,1,38,,
11,4,0.422,4,23:30,0,3,5,0,0,9,1,38,,
11,5,0.529,1,11:30,0,5,5,1,0,8.5,1,38,,
11,6,0.454,2,15:30,0,4,5,1,0,8.5,1,38,,
11,7,0.409,3,19:30,0,6,6,1,0,8.5,1,38,,
11,8,0.467,4,23:30,0,6,6,1,0,8.5,1,38,,
12,1,0.305,1,9:30,0,3,6,0,1,8.5,1,evening type ,,
12,2,0.334,2,14:24,0,3,6,0,1,8.5,1,evening type ,,
12,3,0.302,3,19:24,0,1,4,0,1,8.5,1,evening type ,,
12,4,0.214,4,0:33,0,2,5,0,1,8.5,1,evening type ,,
12,5,0.312,1,10:00,0,3,6,1,1,9,1,evening type ,,
12,6,0.343,2,15:42,0,4,6,1,1,9,1,evening type ,,
12,7,0.367,3,20:02,0,3,7,1,1,9,1,evening type ,,
12,8,0.278,4,1:00,0,2,5,1,1,9,1,evening type ,,
13,1,0.359,1,9:34,0,2,4,0,0,7,1,46,,
13,2,0.38,2,13:42,0,3,5,0,0,7,1,46,,
13,3,0.351,3,18:23,0,3,3,0,0,7,1,46,,
13,4,0.417,4,4:13,0,5,4,0,0,7,1,46,,
13,5,0.371,1,10:16,1,6,3,1,0,6,1,46,,
13,6,0.407,2,16:33,1,3,4,1,0,6,1,46,,
13,7,0.401,3,20:54,0,4,7,1,0,6,1,46,,
13,8,0.347,4,3:12,0,3,4,1,0,6,1,46,,
14,1,0.538,1,10:08,0,3,4,1,1,6,1,36,,
14,2,0.419,2,14:13,0,4,5,1,1,6,1,36,,
14,3,0.454,3,18:49,0,4,4,1,1,6,1,36,,
14,4,0.483,4,23:12,0,5,7,1,1,6,1,36,,
14,5,0.401,1,9:52,0,2,4,0,1,9,1,36,,
14,6,0.387,2,15:30,0,3,3,0,1,9,1,36,,
14,7,0.404,3,20:02,0,2,5,0,1,9,1,36,,
14,8,0.406,4,23:04,0,4,7,0,1,9,1,36,,
15,1,0.568,1,11:00,0,5,3,1,0,8,1,Moderately evening person,,
15,2,0.396,2,15:00,1,4,5,1,0,8,1,Moderately evening person,,
15,3,0.448,3,19:28,0,4,4,1,0,8,1,Moderately evening person,,
15,4,0.355,4,0:21,1,3,5,1,0,8,1,Moderately evening person,,
15,5,0.372,1,11:30,0,3,4,0,0,10,1,Moderately evening person,,
15,6,0.677,2,16:37,0,4,7,0,0,10,1,Moderately evening person,,
15,7,0.352,3,20:39,0,4,4,0,0,10,1,Moderately evening person,,
15,8,0.33,4,23:30,0,4,5,0,0,10,1,Moderately evening person,,
16,1,0.342,1,14:02,0,3,4,0,0,10,1,32,,
16,2,0.295,2,19:07,0,1,6,0,0,10,1,32,,
16,3,0.338,3,1:18,0,5,7,0,0,10,1,32,,
16,4,0.395,4,3:16,0,5,6,0,0,10,1,32,,
16,5,0.453,1,8:01,0,5,3,1,0,4,1,32,,
16,6,0.311,2,13:15,0,4,4,1,0,4,1,32,,
16,7,0.334,3,17:47,0,5,6,1,0,4,1,32,,
16,8,0.281,4,0:22,0,4,6,1,0,4,1,32,,
17,1,0.335,1,8:21,0,3,3,1,0,9,1,37,,
17,2,0.396,2,12:45,0,5,4,1,0,9,1,37,,
17,3,0.348,3,18:30,0,4,6,1,0,9,1,37,,
17,4,0.368,4,21:57,0,6,5,1,0,9,1,37,,
17,5,0.375,1,7:41,0,2,4,0,0,8,1,37,,
17,6,0.097,2,13:52,0,1,6,0,0,8,1,37,,
17,7,0.385,3,18:02,0,5,3,0,0,8,1,37,,
17,8,0.394,4,21:59,0,6,5,0,0,8,1,37,,
18,1,0.528,1,8:37,0,4,5,1,0,7.3,1,40,,
18,2,0.477,2,14:23,1,3,6,1,0,7.3,1,40,,
18,3,0.584,3,20:21,0,5,7,1,0,7.3,1,40,,
18,4,0.571,4,0:01,1,6,7,1,0,7.3,1,40,,
18,5,0.402,1,10:01,1,3,6,0,0,7.1,1,40,,
18,6,0.474,2,15:00,1,3,4,0,0,7.1,1,40,,
18,7,0.462,3,20:00,1,3,4,0,0,7.1,1,40,,
18,8,0.463,4,23:01,0,3,4,0,0,7.1,1,40,,
19,1,0.376,1,9:00 ,0,3,4,0,0,7.5,1,47,,
19,2,0.407,2,14:15 ,0,2,5,0,0,7.5,1,47,,
19,3,0.373,3,19:30 ,0,4,6,0,0,7.5,1,47,,
19,4,0.431,4,0:30 ,0,5,5,0,0,7.5,1,47,,
19,5,0.402,1,8:45 ,0,5,4,1,0,7,1,47,,
19,6,0.382,2,14:30 ,1,1,5,1,0,7,1,47,,
19,7,0.391,3,19:45 ,0,4,4,1,0,7,1,47,,
19,8,0.394,4,0:30 ,0,6,6,1,0,7,1,47,,
20,1,0.282,1,10:00,0,3,4,1,0,8,1,43,,
20,2,0.312,2,16:10,0,3,4,1,0,8,1,43,,
20,3,0.292,3,20:04,0,4,7,1,0,8,1,43,,
20,4,0.305,4,0:31,0,5,5,1,0,8,1,43,,
20,5,0.306,1,9:30,0,3,4,0,0,8,1,43,,
20,6,0.312,2,13:00,0,3,4,0,0,8,1,43,,
20,7,0.403,3,19:06,0,3,4,0,0,8,1,43,,
20,8,0.317,4,23:55,0,4,5,0,0,8,1,43,,
21,1,0.426,1,7:48,0,3,3,1,0,7,1,49,,
21,2,0.396,2,11:57,1,1,6,1,0,7,1,49,,
21,3,0.387,3,17:39,0,2,6,1,0,7,1,49,,
21,4,0.321,4,22:05,0,2,6,1,0,7,1,49,,
21,5,0.389,1,8:38,0,3,3,0,1,9,1,49,,
21,6,0.393,2,12:10,0,3,6,0,1,9,1,49,,
21,7,0.322,3,17:23,0,3,6,0,1,9,1,49,,
21,8,0.4,4,23:54,0,5,6,0,1,9,1,49,,
22,1,0.295,1,9:30,0,3,4,0,0,6.5,1,36,,
22,2,0.323,2,14:00,0,2,6,0,0,6.5,1,36,,
22,3,0.304,3,20:09,0,3,6,0,0,6.5,1,36,,
22,4,0.318,4,0:30,0,4,6,0,0,6.5,1,36,,
22,5,0.298,1,9:00,0,3,4,1,0,7.5,1,36,,
22,6,0.314,2,14:30,0,2,6,1,0,7.5,1,36,,
22,7,0.297,3,19:00,0,2,3,1,0,7.5,1,36,,
22,8,0.299,4,1:14,0,4,7,1,0,7.5,1,36,,
23,1,0.429,1,8:03,0,4,3,1,0,5,1,55,,
23,2,0.353,2,12:25,0,3,5,1,0,5,1,55,,
23,3,0.391,3,18:30,1,2,6,1,0,5,1,55,,
23,4,0.354,4,23:27,0,6,7,1,0,5,1,55,,
23,5,0.481,1,9:03,0,5,3,0,0,7,1,55,,
23,6,0.366,2,13:32,1,3,3,0,0,7,1,55,,
23,7,0.368,3,18:45,0,3,5,0,0,7,1,55,,
23,8,0.356,4,23:30,0,2,4,0,0,7,1,55,,
24,1,0.437,1,11:00,0,1,1,1,0,8,1,50,,
24,2,0.388,2,14:00,0,1,1,1,0,8,1,50,,
24,3,0.405,3,17:00,0,4,5,1,0,8,1,50,,
24,4,0.444,4,1:07,0,6,1,1,0,8,1,50,,
24,5,0.432,1,10:32,0,3,1,0,0,8,1,50,,
24,6,0.471,2,14:03,0,2,9,0,0,8,1,50,,
24,7,0.513,3,17:33,0,7,1,0,0,8,1,50,,
24,8,0.444,4,1:03,0,3,1,0,0,8,1,50,,
25,1,0.441,1,9:32,0,2,4,1,0,8.5,1,48,,
25,2,0.457,2,14:49,0,3,4,1,0,8.5,1,48,,
25,3,0.511,3,20:13,0,5,5,1,0,8.5,1,48,,
25,4,0.591,4,0:59,0,6,6,1,0,8.5,1,48,,
25,5,0.475,1,8:12,0,4,5,0,0,6,1,48,,
25,6,0.432,2,13:10,1,2,6,0,0,6,1,48,,
25,7,0.712,3,21:34,0,7,3,0,0,6,0,48,,
25,8,0.501,4,22:40,0,7,6,0,0,6,1,48,,
26,1,0.286,1,9:52,0,2,6,1,0,7.5,1,60,,
26,2,0.501,2,14:33,0,4,5,1,0,7.5,1,60,,
26,3,0.339,3,19:19,0,5,6,1,0,7.5,1,60,,
26,4,0.541,4,23:11,0,5,4,1,0,7.5,1,60,,
26,5,0.553,1,7:49,0,3,5,0,0,8.17,1,60,,
26,6,0.34,2,14:04,0,5,6,0,1,8.17,1,60,,
26,7,0.325,3,18:15,0,4,7,0,1,8.17,1,60,,
26,8,0.418,4,23:30,0,6,6,0,1,8.17,1,60,,
27,1,0.562,1,10:10,0,3,3,0,0,10,1,Moderately evening person,,
27,2,0.374,2,14:10,0,2,7,0,0,10,1,Moderately evening person,,
27,3,0.219,3,18:10,0,1,3,0,0,10,1,Moderately evening person,,
27,4,0.416,4,23:30,0,5,5,0,0,10,1,Moderately evening person,,
27,5,0.464,1,8:15,0,4,4,1,0,8,1,Moderately evening person,,
27,6,0.372,2,12:15,0,3,3,1,0,8,1,Moderately evening person,,
27,7,0.319,3,16:15,0,1,5,1,0,8,1,Moderately evening person,,
27,8,0.458,4,23:55,0,6,4,1,0,8,1,Moderately evening person,,
28,1,0.363,1,10:15,0,4,4,0,0,#N/A,1,52,,
28,2,0.325,2,12:37,1,3,3,0,0,#N/A,1,52,,
28,3,0.316,3,17:44,0,2,4,0,0,#N/A,1,52,,
28,4,0.329,4,23:08,0,4,5,0,0,#N/A,1,52,,
28,5,0.361,1,9:26,0,4,5,1,0,#N/A,1,52,,
28,6,0.406,2,14:52,0,5,6,1,0,#N/A,1,52,,
28,7,0.332,3,21:52,1,4,6,1,0,#N/A,1,52,,
28,8,0.352,4,22:11,0,5,5,1,0,#N/A,1,52,,
29,1,0.432,1,Wake up,0,7,6,0,0,#N/A,1,night,,
29,2,0.502,2,5 hours,0,3,3,0,0,#N/A,1,night,,
29,3,0.388,3,10hours,0,6,9,0,0,#N/A,1,night,,
29,4,0.379,4,go to bed,0,4,1,0,0,#N/A,1,night,,
29,5,0.356,1,wake up,0,7,6,1,0,#N/A,1,night,,
29,6,0.387,2,5 hours,0,4,3,1,0,#N/A,1,night,,
29,7,0.367,3,10hours,0,7,8,1,0,#N/A,1,night,,
29,8,0.351,4,go to bed,0,5,2,1,0,#N/A,1,night,,
